ImageURL,PlaceName,Year,numericYear,ImageTitle,Artist,Citation,HostInstitution,Latitude,Longitude,Further_Remarks
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24700/1s24706v.jpg,"Convenience and architectural beauty- elevated rr., w. along Bulow Strasse, Berlin, Germany",[1903],1903,"Convenience and architectural beauty- elevated rr., w. along Bulow Strasse, Berlin, Germany",,,Library of Congress,52.498,13.3616,
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24700/1s24702v.jpg,"Blueher and Belle alliance places, Berlin, Germany",[1901],1901,"Blueher and Belle alliance places, Berlin, Germany",,,Library of Congress,52.49896,13.39269,
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24600/1s24690v.jpg,"Charlottenstrasse, Berlin",[1896],1896,"Charlottenstrasse, Berlin",,,Library of Congress,52.5117,13.39164,
https://tile.loc.gov/storage-services/service/pnp/ppmsca/52500/52522v.jpg,Berlin. Gendsdarmenmarkt-Schillerplatz,[ca. 1890-1906],1890,Berlin. Gendsdarmenmarkt-Schillerplatz,Photoglob Company,,Library of Congress,52.51315,13.39151,
https://dhprojects.bc.edu/files/original/10623/St_Petri_Berlin_1743.png,St. Petri Kirche,1742,1742,St. Petri Kirche,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.51334,13.4046,
https://tile.loc.gov/storage-services/service/pnp/cph/3c00000/3c09000/3c09000/3c09081v.jpg,Berlin. Brandenburg Gate,[between 1860 and 1890],1860,Berlin. Brandenburg Gate,,,Library of Congress,52.51627,13.3777,
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24500/1s24540v.jpg,"Brandenburg Gate, Berlin, Germany",c1896,1896,"Brandenburg Gate, Berlin, Germany",,,Library of Congress,52.51627,13.3777,
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24700/1s24704v.jpg,"Palace Square, Berlin, e. past palace (at left) and down Konig Strasse to City Hall, Germany",[1903],1903,"Palace Square, Berlin, e. past palace (at left) and down Konig Strasse to City Hall, Germany",,,Library of Congress,52.516429,13.402391,
https://dhprojects.bc.edu/files/original/10623/St_Nicolai_Kirche_1743.png,Die St. Nicolai Kirche,1742,1742,Die St. Nicolai Kirche,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.5166,13.40788,
https://tile.loc.gov/storage-services/service/pnp/cph/3c00000/3c09000/3c09000/3c09080v.jpg,Berlin. Schloss Bridge,[between 1860 and 1890],1860,Berlin. Schloss Bridge,,,Library of Congress,52.51765,13.39851,
https://tile.loc.gov/storage-services/service/pnp/cph/3c00000/3c09000/3c09000/3c09082v.jpg,Berlin. Imperial Palace,[between 1860 and 1890],1860,Berlin. Imperial Palace,,,Library of Congress,52.51797,13.40137,
https://dhprojects.bc.edu/files/original/10623/Koenigs_Schloss_Berlin_1742.png,Königliche Schloss,1742,1742,Königliche Schloss,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.51797,13.40137,
https://tile.loc.gov/storage-services/service/pnp/ppmsca/52500/52523v.jpg,Berlin. Reichstagsgebäude,[between 1890 and 1900],1890,Berlin. Reichstagsgebäude,,,Library of Congress,52.51862,13.37618,
https://tile.loc.gov/storage-services/service/pnp/ppmsca/52500/52520v.jpg,Berlin. Charlottenburg Königliches Schloss,[ca. 1890-1906],1890,Berlin. Charlottenburg Königliches Schloss,Photoglob Company,,Library of Congress,52.51933126,13.29083217,
https://tile.loc.gov/storage-services/service/pnp/ppmsca/52800/52896v.jpg,Berlin. Dom & Friedrichsbrücke,[ca. 1890-1906],1890,Berlin. Dom & Friedrichsbrücke,Photoglob Company,,Library of Congress,52.52028,13.41847,
https://dhprojects.bc.edu/files/original/10623/Dohm_Kirche_1743.png,Die Dohm-Kirche,1742,1742,Die Dohm-Kirche,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.52028,13.41847,
https://dhprojects.bc.edu/files/original/10623/Marienkirche_Berlin_1743.png,Marienkirche,1742,1742,Marienkirche,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.5205,13.40704,
https://tile.loc.gov/storage-services/service/pnp/ppmsca/52500/52518v.jpg,Berlin National Gallerie. Friedrichsbrücke,[ca. 1890-1906],1890,Berlin National Gallerie. Friedrichsbrücke,Photoglob Company,,Library of Congress,52.52052,13.40035,
https://tile.loc.gov/storage-services/service/pnp/stereo/1s20000/1s24000/1s24700/1s24705v.jpg,"Busy Berlin, s.w. from Alexander Sq. down Konig Strasse to City Hall, Germany",[1903],1903,"Busy Berlin, s.w. from Alexander Sq. down Konig Strasse to City Hall, Germany",,,Library of Congress,52.52127,13.41315,
https://dhprojects.bc.edu/files/original/10623/St_Georgen_Kirche_Berlin_1743.png,St. Georg Kirche,1742,1742,St. Georg Kirche,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.52236,13.41708,
https://dhprojects.bc.edu/files/original/10623/Spandauer_Kirche_Berlin_1743.png,Sophienkirche in Spandau,1742,1742,Sophienkirche in Spandau,Johann David Schleuen,,Zentral- und Landesbibliothek Berlin,52.53052,13.3937,